191	380	97	53	357
434	214	328	53	101
200	385	161	377	278
328	48	280	71	208
35	108	99	400	19
277	284	308	274	417
138	325	108	439	302
229	156	34	314	62
331	390	468	305	38
202	343	337	324	163
434	403	174	350	408
103	5	36	184	498
201	64	57	499	147
269	40	341	293	477
105	422	58	312	138
240	199	54	134	337
84	422	158	422	403
459	241	118	131	483
43	93	139	413	162
80	382	312	22	409
213	292	243	281	291
232	145	205	231	400
386	219	376	86	489
267	243	217	493	183
432	31	149	182	136
220	65	34	475	193
304	72	361	262	360
373	173	232	338	88
155	133	93	70	125
20	86	171	41	329
391	25	500	95	24
109	430	374	420	172
167	297	362	87	393
404	234	67	457	93
152	368	255	228	262
249	152	273	315	161
47	110	11	395	18
476	29	33	350	345
106	59	220	20	473
322	471	27	379	145
441	348	48	183	411
351	72	289	445	2
238	281	257	366	253
251	425	483	71	378
206	344	444	247	360
467	35	216	87	18
220	53	261	131	481
379	195	63	144	72
381	60	60	423	108
22	441	167	68	80
403	300	492	288	176
352	126	280	334	185
207	108	439	24	238
82	62	4	22	429
307	50	259	355	348
488	163	74	499	423
157	137	444	228	66
372	32	222	18	469
65	110	56	327	379
173	454	23	93	157
131	81	148	496	83
207	1	427	54	42
140	358	367	16	135
212	436	283	218	488
385	322	70	453	464
291	286	446	158	365
439	390	469	163	370
384	109	282	333	359
64	369	168	485	169
110	331	338	336	90
485	154	483	112	290
343	72	53	388	310
21	268	492	112	44
440	389	210	349	269
369	4	44	354	25
414	224	163	203	196
321	193	145	314	187
302	66	323	154	287
356	211	187	398	150
253	142	156	70	90
280	79	382	462	293
267	407	398	135	64
429	421	9	437	265
386	174	424	104	297
391	355	115	307	264
375	236	267	324	404
366	471	282	400	107
370	464	304	149	304
86	440	136	3	229
226	464	445	80	307
295	480	392	38	51
148	15	104	343	150
167	403	142	125	220
86	357	33	343	423
288	129	101	288	401
338	123	360	231	49
210	483	18	294	11
141	147	493	442	466
94	146	36	309	199
117	365	89	277	471
111	486	4	405	248
58	389	368	481	229
190	435	386	274	27
408	193	54	4	221
215	125	171	373	437
110	243	408	382	9
387	77	58	109	471
348	100	23	343	52
119	171	356	322	92
463	143	264	179	431
252	52	273	35	426
132	443	187	404	116
47	166	2	236	298
430	28	338	146	361
432	79	423	97	32
57	331	166	464	260
359	319	216	141	158
117	59	215	483	138
5	441	225	185	270
467	408	374	249	352
296	263	77	360	109
483	175	418	492	321
175	407	256	402	62
201	407	382	224	167
393	304	102	484	79
286	126	29	453	495
262	97	289	27	148
185	144	330	388	451
168	122	66	429	42
319	330	286	346	212
221	365	287	184	233
472	492	6	191	415
8	409	37	4	332
376	267	343	293	154
198	335	171	79	255
17	317	31	279	477
455	441	199	30	112
75	391	473	10	497
88	446	361	25	240
258	102	168	470	136
100	329	23	329	284
405	410	308	37	370
347	130	132	222	86
464	486	254	255	202
136	324	253	338	296
349	321	16	275	383
39	143	151	455	460
485	210	360	341	26
216	71	163	372	242
59	472	142	352	243
141	440	471	487	286
161	469	306	138	334
308	93	335	140	122
403	186	219	460	40
50	390	341	137	81
373	479	487	9	343
116	386	166	174	374
237	171	210	314	49
345	438	312	270	276
104	29	172	479	241
259	14	310	45	283
225	246	146	52	42
100	345	355	73	55
402	155	303	431	152
266	250	189	155	328
496	309	422	148	294
157	395	244	263	278
201	85	119	461	3
396	468	345	138	144
383	295	73	205	459
60	284	95	300	292
93	495	329	165	33
435	441	411	310	279
377	424	71	167	233
99	195	313	9	439
68	306	14	343	81
332	23	214	452	423
6	453	293	133	26
489	293	308	487	371
16	177	118	335	91
1	489	418	126	74
241	134	124	329	363
226	32	286	386	476
449	345	456	274	238
408	243	380	16	240
359	290	410	34	6
321	126	309	92	406
463	499	488	380	296
494	95	339	176	172
356	388	405	230	14
120	314	431	122	485
130	61	399	259	277
437	69	267	219	320
222	295	131	76	281
182	95	413	92	85
219	338	362	261	463
254	314	455	75	370
405	493	279	122	281
369	355	251	462	30
456	83	104	436	209
111	386	97	420	327
27	99	146	154	470
428	260	200	172	337
171	314	426	143	44
192	21	14	155	76
313	469	244	373	490
15	288	116	137	278
465	383	277	191	216
493	340	390	274	42
111	95	370	195	349
388	288	235	41	453
261	404	361	397	112
324	248	500	444	492
190	45	310	317	311
65	486	140	233	431
57	390	253	180	317
259	89	28	206	261
453	499	109	5	427
467	78	174	95	291
82	65	417	131	147
481	115	298	411	273
322	250	129	200	32
233	379	42	429	401
242	66	223	287	12
193	342	104	141	273
459	45	310	428	249
390	468	477	35	128
414	313	370	203	226
172	364	297	456	198
482	154	35	410	346
229	437	274	296	134
222	36	66	438	10
389	363	110	423	222
80	52	61	472	303
225	157	288	143	252
183	95	160	335	89
360	300	270	328	64
438	296	470	62	72
74	334	365	179	323
492	207	433	34	484
213	433	216	20	120
244	237	446	55	423
379	188	356	87	292
466	187	29	357	448
476	133	420	380	266
214	485	315	168	218
162	342	354	367	27
256	391	260	273	362
212	265	240	78	32
309	434	42	198	89
2	241	65	97	48
126	371	413	43	385
326	419	155	298	269
401	223	117	441	318
345	100	407	462	427
272	470	483	54	26
61	341	35	215	107
496	380	305	39	213
84	407	299	441	254
488	265	404	199	224
275	154	440	240	168
286	231	93	207	81
41	38	311	378	497
232	14	110	382	38
259	336	21	34	268
41	296	161	249	115
51	93	73	71	371
384	244	420	163	495
276	447	405	476	394
144	300	205	2	479
427	254	482	124	320
178	193	476	231	20
121	233	10	81	202
311	343	433	300	390
365	425	437	15	475
39	74	4	434	270
494	259	439	192	366
43	97	112	265	15
199	39	7	177	48
264	124	118	104	233
390	491	442	205	423
22	14	229	343	308
500	379	115	213	231
299	488	171	160	172
244	294	377	188	123
37	81	242	312	480
220	170	283	253	154
462	65	270	68	438
481	12	483	442	161
13	2	407	181	229
419	26	129	251	430
389	31	497	102	280
369	241	227	60	297
177	319	305	279	366
176	467	167	130	205
172	266	70	181	246
245	358	209	113	415
19	283	160	270	154
91	347	442	399	486
335	343	309	480	242
362	47	366	264	318
412	377	4	119	182
209	83	216	458	305
212	204	256	3	183
190	200	71	459	355
108	499	228	145	7
109	154	100	25	416
298	113	144	344	279
305	122	300	248	170
476	369	202	328	391
392	180	112	104	483
495	363	277	223	208
384	269	286	470	366
374	327	68	310	333
189	204	290	416	272
181	336	378	385	461
302	261	248	111	283
412	499	186	413	411
192	290	298	160	457
435	59	403	55	149
90	438	389	386	43
104	344	49	4	146
74	270	45	477	81
27	190	260	361	182
54	169	166	436	236
77	334	363	48	306
132	381	343	225	193
106	340	288	318	117
80	188	2	342	71
439	122	32	10	99
184	119	409	275	198
475	397	188	350	290
443	175	170	330	207
28	270	194	379	38
399	57	384	468	19
198	393	165	425	85
102	271	59	210	67
110	404	138	463	267
53	386	95	222	47
237	336	240	445	424
209	302	6	27	261
33	101	167	356	81
153	339	239	497	235
91	384	405	469	317
46	171	379	21	169
90	16	276	185	327
150	443	202	6	430
311	240	330	97	378
338	159	334	294	365
192	402	320	472	330
157	304	60	66	256
112	482	365	197	22
299	258	207	462	433
485	469	39	324	290
271	207	28	494	257
45	403	250	115	155
441	447	396	309	482
198	419	269	292	71
383	251	406	339	23
152	11	69	442	2
53	239	281	396	244
398	185	209	481	51
190	228	186	175	445
258	423	296	426	85
372	97	248	436	410
6	192	38	470	320
356	452	356	142	116
323	462	65	400	116
474	161	390	487	202
357	124	361	124	236
241	147	480	246	118
274	415	231	113	119
387	82	397	475	255
177	149	292	343	467
7	205	391	40	204
67	282	471	366	235
11	30	359	89	362
234	14	2	259	486
197	318	262	109	268
288	424	216	500	274
95	185	75	193	404
26	106	460	86	348
148	411	323	18	1
212	198	281	247	36
230	136	469	44	112
464	164	136	20	172
55	55	377	401	345
